City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Kutum,14.2,24.6667,73.45,66,25,8.32,scattered clouds
292,Ojinaga,29.5667,-104.4167,94.57,33,1,10.36,clear sky
293,Orzesze,50.1559,18.7792,67.98,67,67,1.72,broken clouds
294,Green River,41.5286,-109.4662,85.19,26,94,10.63,overcast clouds
295,Yongan,39.6957,113.6871,60.6,95,100,5.93,overcast clouds
296,Bairnsdale,-37.8333,147.6167,50.47,88,100,1.21,moderate rain
297,Innisfail,-17.5333,146.0333,61.36,85,20,3.78,few clouds
298,Bhimunipatnam,17.8833,83.4333,78.31,85,100,9.78,overcast clouds
299,Kristiinankaupunki,62.2743,21.376,62.69,63,100,19.15,overcast clouds
300,Sao Joao Da Barra,-21.6403,-41.0511,75.29,67,49,9.82,scattered clouds
301,Port Elizabeth,-33.918,25.5701,48.49,76,75,21.85,light rain
302,Novyy Urengoy,66.0833,76.6333,55.11,64,99,7.43,overcast clouds
303,Arkhangelsk,64.5401,40.5433,47.17,92,77,5.46,broken clouds
304,Fare,-16.7,-151.0167,78.49,65,96,14.03,overcast clouds
305,Komsomolskiy,40.4272,71.7189,81.32,39,4,4.61,clear sky
306,Gat,31.61,34.7642,77.83,71,0,3.38,clear sky
307,Lewiston,44.1003,-70.2148,79.43,59,75,5.75,broken clouds
308,Morant Bay,17.8815,-76.4093,92.62,70,77,12.75,broken clouds
309,Oranjemund,-28.55,16.4333,55.6,55,0,21.14,clear sky
310,Mitsamiouli,-11.3847,43.2844,77.27,73,22,7.2,few clouds
311,Miles City,46.4083,-105.8406,97.77,24,20,6.91,few clouds
312,Deputatskiy,69.3,139.9,50.47,74,95,2.57,overcast clouds
313,Puerto Del Rosario,28.5004,-13.8627,76.75,65,20,19.57,few clouds
314,Puerto Escondido,15.85,-97.0667,89.91,59,77,9.01,broken clouds
315,La Romana,18.4273,-68.9728,90.39,51,9,15.46,clear sky
316,Chapleau,47.8405,-83.4034,73.49,40,40,11.5,smoke
317,Baruun-Urt,46.6806,113.2792,64.78,82,0,7.47,clear sky
318,Bell Ville,-32.6259,-62.6887,72.09,30,7,14.92,clear sky
319,Mount Gambier,-37.8333,140.7667,42.71,93,90,9.22,overcast clouds
320,Georgetown,5.4112,100.3354,85.95,72,20,3.44,few clouds
321,Ankang,32.68,109.0172,74.19,97,74,1.54,broken clouds
322,Isangel,-19.55,169.2667,73.99,88,95,9.46,overcast clouds
323,Sivas,39.7916,37.0019,65.03,77,0,11.5,clear sky
324,Kilimatinde,-5.85,34.95,68.7,55,18,5.32,few clouds
325,Tutoia,-2.7619,-42.2744,87.78,68,6,10.16,clear sky
326,Simao,22.7886,100.9748,65.05,100,99,0.83,overcast clouds
327,Narsaq,60.9167,-46.05,59.22,73,31,6.93,scattered clouds
328,Kendari,-3.945,122.4989,72.07,94,88,2.75,overcast clouds
329,Usinsk,65.9939,57.5281,49.82,56,46,9.37,scattered clouds
330,Tabas,33.5959,56.9244,94.42,12,27,7.29,scattered clouds
331,Culpeper,38.5004,-77.9664,85.84,39,40,4.61,scattered clouds
332,Cap-Aux-Meules,47.3821,-61.8597,59.05,100,90,11.5,light intensity shower rain
333,Dudinka,69.4058,86.1778,50.58,84,100,9.04,overcast clouds
334,Atar,20.5169,-13.0499,98.73,10,0,11.3,clear sky
335,Honiara,-9.4333,159.95,76.15,89,77,4.9,broken clouds
