City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Katherine,AU,-14.4667,132.2667,82.72,36,32,9.22,scattered clouds
269,Maracacume,BR,-2.0428,-45.9592,74.89,82,80,1.12,broken clouds
270,Ladario,BR,-19.0047,-57.6017,71.02,29,0,2.95,clear sky
271,Rawson,AR,-43.3002,-65.1023,53.53,48,100,9.84,overcast clouds
272,Mahebourg,MU,-20.4081,57.7,70.25,77,20,12.66,few clouds
273,Dombarovskiy,RU,50.7587,59.5386,76.87,50,37,1.48,scattered clouds
274,Sanming,CN,26.2486,117.6186,89.1,60,4,5.37,clear sky
275,Cap Malheureux,MU,-19.9842,57.6142,70.47,70,20,7.0,few clouds
276,Provideniya,RU,64.3833,-173.3,46.51,71,75,13.42,broken clouds
277,Neiafu,TO,-18.65,-173.9833,83.08,74,20,8.05,few clouds
278,San Ramon,US,37.7799,-121.978,86.22,56,1,5.99,clear sky
279,Ucluelet,CA,48.9329,-125.5528,73.04,71,100,1.99,overcast clouds
280,Abu Samrah,SY,35.3029,37.1841,72.7,79,0,9.78,clear sky
281,Alice Springs,AU,-23.7,133.8833,60.35,44,6,8.05,clear sky
282,Chapais,CA,49.7834,-74.8492,64.18,64,79,3.6,broken clouds
283,Heishan,CN,41.6892,122.1128,84.04,59,100,12.15,overcast clouds
284,Devanhalli,IN,13.2325,77.6992,73.35,88,75,11.5,broken clouds
285,Kinshasa,CD,-4.3246,15.3215,73.72,88,75,5.75,broken clouds
286,Polson,US,47.6936,-114.1632,82.54,23,0,8.66,clear sky
287,Khandagayty,RU,50.7333,92.05,76.55,38,100,4.5,light rain
288,Kinsale,IE,51.7075,-8.5306,65.57,88,0,8.05,clear sky
289,Bengkulu,ID,-3.8004,102.2655,80.67,71,94,1.36,overcast clouds
290,Alofi,NU,-19.0595,-169.9187,80.49,78,75,10.36,broken clouds
291,Mackenzie,CA,55.2999,-123.1698,59.22,55,90,10.36,overcast clouds
292,Sandpoint,US,48.2766,-116.5533,80.62,26,1,6.91,clear sky
293,Kamenka,RU,51.3223,42.7678,56.62,85,0,7.16,clear sky
294,Vardo,NO,70.3705,31.1107,45.27,79,100,30.4,overcast clouds
295,Matias Romero,MX,16.8833,-95.0333,73.44,92,71,7.63,broken clouds
296,Bilma,NE,18.6853,12.9164,83.16,54,100,13.04,overcast clouds
297,Paris,FR,48.8534,2.3488,70.14,75,0,1.01,clear sky
298,Hanstholm,DK,57.1167,8.6167,59.63,84,65,18.37,broken clouds
299,Kaitangata,NZ,-46.2817,169.8464,52.93,53,14,4.7,few clouds
300,Loding,NO,67.3,14.75,48.11,91,75,4.0,broken clouds
301,Klaksvik,FO,62.2266,-6.589,47.32,93,92,10.42,overcast clouds
302,Letlhakane,BW,-21.4167,25.5833,39.33,19,0,10.31,clear sky
303,Neyshabur,IR,36.2133,58.7958,79.21,20,1,2.64,clear sky
304,Olenegorsk,RU,68.15,33.3,39.43,95,100,15.41,overcast clouds
305,Gizo,SB,-8.103,156.8419,83.62,73,15,5.3,few clouds
306,Padang,ID,-0.9492,100.3543,82.45,69,46,1.88,scattered clouds
307,Ouango,CF,4.3133,22.5552,69.17,96,52,2.84,broken clouds
308,Itarema,BR,-2.9248,-39.9167,79.11,80,2,17.6,clear sky
309,Rockport,US,28.0206,-97.0544,86.25,86,1,1.99,clear sky
310,Mangrol,IN,21.1167,70.1167,82.56,85,100,18.03,overcast clouds
311,Aberdeen,GB,57.1437,-2.0981,56.53,100,90,3.44,mist
312,Sawakin,SD,19.1059,37.3321,90.0,55,100,16.15,overcast clouds
313,Pringsewu,ID,-5.3582,104.9744,80.42,84,91,2.66,overcast clouds
314,Matara,LK,5.9485,80.5353,79.43,87,100,15.57,overcast clouds
315,Monterey,US,36.2505,-121.2516,73.83,32,83,11.77,broken clouds
316,Port Macquarie,AU,-31.4333,152.9167,64.36,49,99,9.64,overcast clouds
317,Northam,GB,51.0333,-4.2167,69.1,79,100,8.05,overcast clouds
318,Le Vauclin,MQ,14.5452,-60.8388,81.84,83,75,10.36,broken clouds
319,Sitka,US,57.0531,-135.33,60.69,72,90,4.61,overcast clouds
320,Zaysan,KZ,47.4667,84.8667,78.6,38,8,4.27,clear sky
321,Limon,CR,10.0,-83.0333,75.65,93,100,3.38,overcast clouds
322,Leua,SK,48.2156,18.6071,63.5,80,1,3.36,clear sky
323,Cabedelo,BR,-6.9811,-34.8339,72.27,84,75,11.99,broken clouds
324,Charters Towers,AU,-20.1,146.2667,78.21,42,50,15.23,scattered clouds
325,Chokwe,MZ,-24.5333,32.9833,55.53,75,0,7.61,clear sky
326,Grafton,US,42.207,-71.6856,70.05,78,1,8.05,clear sky
327,Bushehr,IR,28.9684,50.8385,95.09,63,0,6.91,clear sky
328,Cherskiy,RU,68.75,161.3,63.48,64,100,4.45,overcast clouds
329,Kangavar,IR,34.5043,47.9653,69.33,35,0,2.15,clear sky
330,Wilmington,US,34.2257,-77.9447,81.91,88,75,3.44,broken clouds
331,Balkanabat,TM,39.5108,54.3671,90.61,15,12,6.46,few clouds
332,Norman Wells,CA,65.282,-126.8329,78.84,50,75,14.97,heavy intensity rain
333,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.0,94,90,4.61,overcast clouds
334,Narsaq,GL,60.9167,-46.05,46.62,95,100,5.84,overcast clouds
335,Barcelos,PT,41.5388,-8.6151,64.29,95,100,1.72,overcast clouds
336,Harwich,GB,51.9419,1.2844,62.01,93,2,1.99,clear sky
337,Hasaki,JP,35.7333,140.8333,88.29,68,84,7.45,broken clouds
338,Bonavista,CA,48.6499,-53.1147,52.12,94,96,9.6,overcast clouds
339,Morondava,MG,-20.2833,44.2833,68.13,80,23,9.01,few clouds
340,Kieta,PG,-6.2167,155.6333,83.82,75,34,6.55,moderate rain
341,Synya,RU,65.3718,58.0387,52.95,50,8,5.77,clear sky
342,Olavarria,AR,-36.8927,-60.3225,49.75,89,87,8.61,overcast clouds
343,Uusikaupunki,FI,60.8004,21.4084,52.32,73,32,14.9,scattered clouds
344,Manoel Urbano,BR,-8.8389,-69.2597,70.48,63,0,1.3,clear sky
345,Mildura,AU,-34.2,142.15,49.96,76,90,3.44,overcast clouds
346,Geraldton,AU,-28.7667,114.6,61.21,88,75,13.8,broken clouds
