City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Sioux Lookout,CA,2021-07-21 13:01:27,50.1001,-91.917,62.6,64,94,5.61
145,Lavrentiya,RU,2021-07-21 13:01:28,65.5833,-171.0,41.07,90,100,5.21
146,Half Moon Bay,US,2021-07-21 13:00:10,37.4636,-122.4286,58.91,86,1,0.0
147,Tuatapere,NZ,2021-07-21 13:01:29,-46.1333,167.6833,43.83,95,100,5.32
148,Dovers,VC,2021-07-21 13:01:29,12.8833,-61.1833,80.76,79,100,17.96
149,Castro,BR,2021-07-21 12:59:47,-24.7911,-50.0119,55.17,46,6,2.55
150,Goianesia,BR,2021-07-21 13:01:30,-15.3175,-49.1175,80.08,31,0,10.74
151,Lebu,CL,2021-07-21 13:01:31,-37.6167,-73.65,51.44,93,100,4.52
152,Carnarvon,AU,2021-07-21 13:01:31,-24.8667,113.6333,66.65,67,7,12.66
153,Touros,BR,2021-07-21 13:01:32,-5.1989,-35.4608,83.41,65,34,15.61
154,Abha,SA,2021-07-21 13:01:32,18.2164,42.5053,66.22,78,78,8.66
155,Christchurch,NZ,2021-07-21 12:59:39,-43.5333,172.6333,49.91,82,100,1.01
156,Lima,PE,2021-07-21 13:00:45,-12.0432,-77.0282,60.13,91,28,5.19
157,Le Port,RE,2021-07-21 13:01:33,-20.9373,55.2919,76.96,69,13,5.1
158,Moree,AU,2021-07-21 13:01:33,-29.4667,149.85,40.21,79,1,6.64
159,San Felipe,VE,2021-07-21 13:01:34,10.3399,-68.7425,77.95,79,9,2.15
160,Cherskiy,RU,2021-07-21 13:01:35,68.75,161.3,50.14,60,100,6.64
161,Kruisfontein,ZA,2021-07-21 13:01:35,-34.0033,24.7314,62.89,28,82,20.27
162,Borogontsy,RU,2021-07-21 13:01:36,62.6683,131.1683,64.42,72,44,8.39
163,Port Elizabeth,ZA,2021-07-21 13:01:36,-33.918,25.5701,65.1,31,4,18.86
164,Raigarh,IN,2021-07-21 13:01:37,21.9,83.4,86.14,75,99,4.76
165,Cabo San Lucas,MX,2021-07-21 13:01:38,22.8909,-109.9124,83.8,69,92,8.5
166,Urucara,BR,2021-07-21 13:01:38,-2.5364,-57.76,82.71,68,2,2.51
167,Zunheboto,IN,2021-07-21 13:01:39,25.9667,94.5167,68.92,98,91,2.82
168,Cape Town,ZA,2021-07-21 13:00:55,-33.9258,18.4232,57.11,74,98,7.0
169,Tiarei,PF,2021-07-21 13:01:40,-17.5333,-149.3333,77.02,81,34,19.93
170,Kyabe,TD,2021-07-21 13:01:40,9.4515,18.9449,86.07,57,93,5.97
171,Chuy,UY,2021-07-21 13:01:41,-33.6971,-53.4616,47.91,67,4,7.85
